video_path,action,hip_knee_angle,shoulder_hip_angle,shoulder_angle,elbow_angle,avg_hip_angle,avg_shoulder_angle,avg_knee_angle,score
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111241.mp4,Jump,110.8025428,92.40546176,73.90026779,162.9497586,109.6300291,91.42762618,73.11825438,3
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111258.mp4,Jump,108.7757814,91.61143854,72.91335909,155.9201387,108.1878042,91.11624158,72.51923282,3
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111315.mp4,Squat,122.9750107,96.18345652,77.99682674,163.7284666,121.7574363,95.23114507,77.22458093,3
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111332.mp4,Squat,118.5180378,97.89942721,70.06878494,160.2022687,117.8125733,97.31669252,69.65170884,3
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111358.mp4,Jump,115.8910891,82.61050401,62.76879059,160.127576,115.2612462,82.16153388,62.42765586,2
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111418.mp4,Jump,107.7439379,90.5770253,70.69325495,162.2156976,107.1551732,90.08206888,70.30695301,2
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111435.mp4,Squat,109.3757178,96.2119141,71.19702117,160.5737925,108.139834,95.12477383,70.39253506,2
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224111800.mp4,Squat,112.7037612,96.60669051,75.7038679,141.2396227,112.7037612,96.60669051,75.7038679,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224111824.mp4,Squat,139.5484593,100.2360168,79.72367254,141.4270959,139.5484593,100.2360168,79.72367254,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224111840.mp4,Squat,132.5519311,96.08176536,72.59529345,120.3078315,132.5519311,96.08176536,72.59529345,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224111855.mp4,Squat,135.3626748,97.62787223,79.10821848,160.4641366,134.4602569,96.97701975,78.58083036,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224111911.mp4,Squat,139.3464006,100.5491576,78.63615734,137.4908262,138.5315093,99.96115087,78.17629677,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224111929.mp4,Squat,137.0764549,99.2593827,81.19920873,136.5442627,136.1502627,98.58871119,80.65056542,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224112007.mp4,Squat,142.5037616,99.30815331,86.07324873,141.7771979,140.7335286,98.07451165,85.00401582,3
E:\course_work\Dissertation\pose_estim\back_009_m01_20230224112021.mp4,Squat,133.674951,98.04290529,78.02834154,134.1835259,132.9067041,97.47944031,77.5799028,3
E:\course_work\Dissertation\pose_estim\back_009_m02_20230224112120.mp4,Jump,121.3778437,101.3900843,80.85688934,165.7999396,120.6721585,100.800607,80.38679115,3
E:\course_work\Dissertation\pose_estim\back_009_m02_20230224112152.mp4,Jump,111.2642721,84.45105431,73.81181712,160.3644676,110.6817366,84.0089022,73.42536781,3
E:\course_work\Dissertation\pose_estim\back_009_m02_20230224112210.mp4,Jump,111.3504489,87.67222236,69.53006448,156.474192,110.4805235,86.98728313,68.98686085,2
E:\course_work\Dissertation\pose_estim\back_009_m02_20230224112227.mp4,Jump,112.6687405,87.57530995,72.56670837,156.6061511,112.0530643,87.09675634,72.17016898,2
E:\course_work\Dissertation\pose_estim\back_009_m02_20230224112246.mp4,Jump,121.5204761,105.2988573,70.15096316,138.2484298,120.7561964,104.6366003,69.70976213,2
